state,plate_title,plate_img,source_img,source
CA,Foreign Organization,foreignorg.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/foreignorg.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Gold Star Family,goldstar.jpg,https://www.dmv.ca.gov/portal/uploads/2020/03/goldstar.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Historical Vehicles,histvehicle.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/histvehicle.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Honorary Consul Corps,honconsulsun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/honconsulsun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Horseless Carriages,horselesscarrag.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/horselesscarrag.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Prorate Plate (no longer in circulation),IRPbaseplt.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/IRPbaseplt.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,"Have A Heart, Be A Star, Help Our KIDS - Motorcycle",kids_heart_mc.gif,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/kids_heart_mc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,"Have A Heart, Be A Star, Help Our KIDS",kidsT_150.jpg,https://www.dmv.ca.gov/portal/uploads/2020/05/kidsT_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Legion of Valor,legionofvalor.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/legionofvalor.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Livery - Seql,liveryseql.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/liveryseql.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Livery - ELP,liveryELP.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/liveryELP.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Antique Motorcycle,mcantique.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/mcantique.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,MEMORIAL,memorial_150.jpg,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/memorial_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,MEMORIAL - Motorcycle,memorial_mc.gif,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/memorial_mc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Manufacturers - Block,MfgBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/MfgBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Manufacturers - Motorcycle,MfgMC.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/MfgMC.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Manufacturers - Sun,MfgSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/MfgSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Manufacturers - Blue + Gold,mfrblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/mfrblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
